"location","indicator","Unit","Date","Value"
"Alaska","Miscellaneous","Index, High=High cost of living","2020","113.9"
"Alaska","Miscellaneous","Index, High=High cost of living","2021","114"
"Alaska","Miscellaneous","Index, High=High cost of living","2022","120.4"
"Alaska","Miscellaneous","Index, High=High cost of living","2023","119.7"
"Alaska","Miscellaneous","Index, High=High cost of living","2017Q1","121"
"Alaska","Miscellaneous","Index, High=High cost of living","2017Q2","117.4"
"Alaska","Miscellaneous","Index, High=High cost of living","2017Q3","119.1"
"Alaska","Miscellaneous","Index, High=High cost of living","2018Q1","118.2"
"Alaska","Miscellaneous","Index, High=High cost of living","2019Q1","115.7"
"Alaska","Miscellaneous","Index, High=High cost of living","2019Q2","115.2"
"Alaska","Miscellaneous","Index, High=High cost of living","2019Q3","111.2"
"Alaska","Miscellaneous","Index, High=High cost of living","2020Q1","114.1"
"Alaska","Miscellaneous","Index, High=High cost of living","2020Q3","112.8"
"Alaska","Miscellaneous","Index, High=High cost of living","2020Q4","113.5"
"Alaska","Miscellaneous","Index, High=High cost of living","2021Q1","113.7"
"Alaska","Miscellaneous","Index, High=High cost of living","2021Q2","114.5"
"Alaska","Miscellaneous","Index, High=High cost of living","2021Q3","113.8"
"Alaska","Miscellaneous","Index, High=High cost of living","2022Q1","116.1"
"Alaska","Miscellaneous","Index, High=High cost of living","2022Q2","120.1"
"Alaska","Miscellaneous","Index, High=High cost of living","2022Q3","120.5"
"Alaska","Miscellaneous","Index, High=High cost of living","2023Q1","118.8"
"Alaska","Miscellaneous","Index, High=High cost of living","2023Q2","119.7"
"Alaska","Miscellaneous","Index, High=High cost of living","2023Q3","122.8"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2017Q1","87.9"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2017Q2","87.4"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2017Q3","87.7"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2018Q1","88.8"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2019Q1","2"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2019Q2","87.7"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2019Q3","86.9"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2020Q1","88.2"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2020Q3","87.8"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2020Q4","88.3"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2021Q1","88.8"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2021Q2","89.1"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2021Q3","92.1"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2022Q1","89.9"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2022Q2","89.9"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2022Q3","90.7"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2023Q1","90.3"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2023Q2","90.1"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2023Q3","88.5"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1960","9.729078"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1961","10.25731"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1962","10.58921"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1963","11.09684"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1964","11.61635"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1965","12.16355"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1966","12.99362"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1967","13.60872"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1968","14.8375"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1969","16.20367"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1970","17.54979"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1971","18.75279"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1972","19.9014"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1973","21.87013"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1974","24.3915"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1975","26.56989"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1976","28.43949"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1977","30.58341"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1978","33.29095"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1979","36.83135"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1980","41.12016"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1981","45.15311"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1982","47.62546"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1983","49.23444"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1984","51.11975"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1985","52.85147"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1986","53.88134"
